// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	      1004	       700
       100	     10000	       269	       321
      1000	     10000	       172	       451
        10	     20000	       304	       206
       100	     20000	       529	       226
      1000	     20000	       307	       310
     10000	     20000	       222	       341
        10	     30000	       308	       255
       100	     30000	       350	       247
      1000	     30000	       327	       353
     10000	     30000	       314	       430
        10	     40000	       432	       457
       100	     40000	       455	       389
      1000	     40000	       469	       346
     10000	     40000	       431	       475
        10	     50000	       519	       476
       100	     50000	       488	       452
      1000	     50000	       547	       515
     10000	     50000	       517	       521
        10	     60000	       679	       462
       100	     60000	       604	       459
      1000	     60000	       565	       465
     10000	     60000	       638	       656
        10	     70000	       655	       588
       100	     70000	       713	       650
      1000	     70000	       799	       601
     10000	     70000	       749	       651
        10	     80000	       764	       597
       100	     80000	       718	       700
      1000	     80000	       869	       596
     10000	     80000	      1049	       667
        10	     90000	       913	       750
       100	     90000	       922	       667
      1000	     90000	      1118	       686
     10000	     90000	       890	       789
        10	    100000	      1172	       742
       100	    100000	      1198	       851
      1000	    100000	       904	       857
     10000	    100000	       929	      1098
        10	    110000	      1096	       817
       100	    110000	      1209	       936
      1000	    110000	      1023	      1131
     10000	    110000	      1000	      1195
        10	    120000	      1273	       878
       100	    120000	      1414	      1013
      1000	    120000	      1058	      1230
     10000	    120000	      1133	      1088
        10	    130000	      1520	      1259
       100	    130000	      1065	      1239
      1000	    130000	      1193	      1192
     10000	    130000	      1148	      1017
        10	    140000	      1370	      1212
       100	    140000	      1317	      1172
      1000	    140000	      1270	      1220
     10000	    140000	      1328	      1283
        10	    150000	      1664	      1280
       100	    150000	      1227	      1229
      1000	    150000	      1452	      1250
     10000	    150000	      1775	      1017
        10	    160000	      1685	      1424
       100	    160000	      1461	      1210
      1000	    160000	      1452	      1145
     10000	    160000	      1397	      1342
        10	    170000	      1713	      1511
       100	    170000	      1387	      1282
      1000	    170000	      1599	      1452
     10000	    170000	      1963	      1170
        10	    180000	      1784	      1642
       100	    180000	      1444	      1676
      1000	    180000	      1837	      1260
     10000	    180000	      1865	      1342
        10	    190000	      1893	      1590
       100	    190000	      1625	      1379
      1000	    190000	      1838	      1394
     10000	    190000	      1965	      1358
        10	    200000	      2033	      1429
       100	    200000	      1694	      1641
      1000	    200000	      1911	      1505
     10000	    200000	      2135	      1440
    100000	    200000	      2021	      1461
        10	    210000	      2176	      1641
       100	    210000	      1857	      1743
      1000	    210000	      2308	      1462
     10000	    210000	      1995	      1445
    100000	    210000	      2194	      4254
        10	    220000	      2210	      1628
       100	    220000	      1979	      1963
      1000	    220000	      2322	      1625
     10000	    220000	      2188	      1531
    100000	    220000	      2510	      1608
        10	    230000	      2227	      1650
       100	    230000	      1960	      2040
      1000	    230000	      2240	      1817
     10000	    230000	      2187	      1587
    100000	    230000	      2416	      1552
        10	    240000	      2227	      1806
       100	    240000	      2460	      1694
      1000	    240000	      2292	      1745
     10000	    240000	      2210	      1684
    100000	    240000	      2330	      1545
        10	    250000	      2422	      1805
       100	    250000	      2357	      1829
      1000	    250000	      2636	      1768
     10000	    250000	      2420	      1668
    100000	    250000	      2432	      4405
        10	    260000	      2500	      1958
       100	    260000	      2439	      1894
      1000	    260000	      2668	      1826
     10000	    260000	      2510	      1761
    100000	    260000	      2828	      1614
        10	    270000	      2703	      1925
       100	    270000	      2476	      1983
      1000	    270000	      2813	      1983
     10000	    270000	      2374	      1764
    100000	    270000	      2673	      1633
        10	    280000	      2749	      2124
       100	    280000	      2565	      1975
      1000	    280000	      2520	      1974
     10000	    280000	      2292	      1954
    100000	    280000	      2782	      1672
        10	    290000	      2744	      2155
       100	    290000	      2833	      2053
      1000	    290000	      2549	      2037
     10000	    290000	      2597	      2082
    100000	    290000	      2806	      1801
        10	    300000	      2548	      2138
       100	    300000	      2958	      2198
      1000	    300000	      2799	      2132
     10000	    300000	      2771	      2040
    100000	    300000	      2848	      1803
        10	    310000	      2969	      2273
       100	    310000	      2988	      2235
      1000	    310000	      2874	      2186
     10000	    310000	      2972	      2114
    100000	    310000	      3478	      1841
        10	    320000	      3092	      2272
       100	    320000	      3198	      2298
      1000	    320000	      2799	      2263
     10000	    320000	      2664	      2380
    100000	    320000	      2970	      1830
        10	    330000	      3071	      2607
       100	    330000	      3301	      2418
